NAME,CLUB,LEAGUE,NATION,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,WORKRATE,STRONGFOOT,WEAKFOOT,SKILLMOVES,LOADDATE
Pelé,Icons,Icons,Brazil,CAM,Gold,98,95,96,93,96,60,76,High / Medium,Right,4,5,
Diego Maradona,Icons,Icons,Argentina,CAM,Gold,97,92,93,92,97,40,76,High / Medium,Left,3,5,
Ronaldo,Icons,Icons,Brazil,ST,Gold,96,97,95,81,95,45,76,Medium / Medium,Right,5,5,
Cristiano Ronaldo,Juventus,Italy Serie A,Portugal,ST,Gold,95,91,94,82,91,36,80,High / Low,Right,4,5,
Lionel Messi,FC Barcelona,Spain Primera Division,Argentina,CF,Gold,95,89,92,89,97,33,62,Medium / Medium,Left,4,4,
Pelé,Icons,Icons,Brazil,CF,Gold,95,96,93,90,95,56,75,High / Medium,Right,4,5,
Diego Maradona,Icons,Icons,Argentina,CAM,Gold,95,88,91,90,95,42,75,High / Medium,Left,3,5,
Ronaldo,Icons,Icons,Brazil,ST,Gold,94,93,93,80,93,46,80,Medium / Low,Right,5,5,
Ronaldinho,Icons,Icons,Brazil,LW,Gold,94,92,90,91,95,37,81,High / Low,Right,4,5,
Paolo Maldini,Icons,Icons,Italy,CB,Gold,94,86,56,75,69,96,83,Medium / High,Right,4,2,
Cristiano Ronaldo,Juventus,Italy Serie A,Portugal,ST,Gold,94,90,93,81,90,35,79,High / Low,Right,4,5,
Johan Cruyff,Icons,Icons,Netherlands,CF,Gold,94,91,92,91,94,42,73,High / Low,Right,5,5,
Cristiano Ronaldo,Juventus,Italy Serie A,Portugal,ST,Gold,94,90,93,81,90,35,79,High / Low,Right,4,5,
Lionel Messi,FC Barcelona,Spain Primera Division,Argentina,CF,Gold,94,88,91,88,96,32,61,Medium / Medium,Left,4,4,
Eden Hazard,Chelsea,England Premier League,Belgium,LW,Gold,93,93,86,90,96,38,70,High / Medium,Right,4,4,
Neymar Jr,Paris Saint-Germain,France Ligue 1,Brazil,LF,Gold,93,93,86,85,96,33,60,High / Medium,Right,5,5,
Franco Baresi,Icons,Icons,Italy,CB,Gold,93,70,49,76,72,95,82,Medium / High,Right,3,2,
Marco van Basten,Icons,Icons,Netherlands,ST,Gold,93,83,94,76,89,39,75,Medium / Medium,Right,4,3,
Lothar Matthäus,Icons,Icons,Germany,CM,Gold,93,89,89,90,82,90,85,High / High,Right,4,3,
Thierry Henry,Icons,Icons,France,ST,Gold,93,94,91,83,90,53,80,Medium / Medium,Right,4,4,
Ruud Gullit,Icons,Icons,Netherlands,CF,Gold,93,86,91,91,89,82,90,High / Medium,Right,5,4,
George Best,Icons,Icons,Northern Ireland,RW,Gold,93,93,91,84,94,58,71,Medium / Medium,Right,4,4,
Neymar,Paris Saint-Germain,France Ligue 1,Brazil,LW,Gold,93,93,85,84,96,33,60,High / Medium,Right,5,5,
Eusébio,Icons,Icons,Portugal,CF,Gold,93,94,94,86,93,45,79,High / Medium,Right,5,4,
Roberto Baggio,Icons,Icons,Italy,CAM,Gold,93,86,84,92,92,40,61,Medium / Low,Right,4,5,
Luka Modrić,Real Madrid,Spain Primera Division,Croatia,CM,Gold,92,77,77,91,92,71,68,High / High,Right,4,4,
Sergio Ramos,Real Madrid,Spain Primera Division,Spain,CB,Gold,92,76,64,72,73,92,85,High / Medium,Right,3,3,
Luis Suárez,FC Barcelona,Spain Primera Division,Uruguay,ST,Gold,92,81,91,80,88,53,86,High / Medium,Right,4,3,
Kevin De Bruyne,Manchester City,England Premier League,Belgium,CAM,Gold,92,78,87,93,88,61,79,High / High,Right,5,4,
Eden Hazard,Chelsea,England Premier League,Belgium,LW,Gold,92,92,84,88,95,37,68,High / Medium,Right,4,4,
Bobby Moore,Icons,Icons,England,CB,Gold,92,68,64,83,78,93,85,Medium / Medium,Right,3,2,
Gary Lineker,Icons,Icons,England,ST,Gold,92,88,91,73,86,36,76,High / Low,Right,4,3,
Ruud van Nistelrooy,Icons,Icons,Netherlands,ST,Gold,92,86,91,74,85,37,82,High / Low,Right,3,3,
Javier Zanetti,Icons,Icons,Argentina,RB,Gold,92,86,63,88,85,90,81,High / High,Right,4,2,
Emilio Butragueño,Icons,Icons,Spain,ST,Gold,92,94,90,80,92,41,68,Medium / Low,Right,5,3,
Carles Puyol,Icons,Icons,Spain,CB,Gold,92,70,45,68,58,94,90,Medium / High,Right,3,2,
Dennis Bergkamp,Icons,Icons,Netherlands,CF,Gold,92,84,91,86,90,37,78,Medium / Medium,Right,4,4,
Alessandro Nesta,Icons,Icons,Italy,CB,Gold,92,72,42,65,67,94,86,Medium / High,Right,3,2,
Paolo Maldini,Icons,Icons,Italy,CB,Gold,92,82,56,74,68,95,81,Medium / High,Right,4,2,
Alessandro Del Piero,Icons,Icons,Italy,CF,Gold,92,83,92,89,92,43,67,Medium / Medium,Right,5,4,
Ryan Giggs,Icons,Icons,Wales,LM,Gold,92,90,80,90,91,44,67,High / Medium,Left,2,3,
Hristo Stoichkov,Icons,Icons,Bulgaria,ST,Gold,92,92,93,86,92,50,86,Medium / Medium,Left,3,4,
Luís Figo,Icons,Icons,Portugal,RW,Gold,92,92,88,89,92,41,80,High / Low,Right,4,4,
Raúl,Icons,Icons,Spain,CF,Gold,92,88,92,82,90,47,75,High / Medium,Left,4,4,
Rivaldo,Icons,Icons,Brazil,LW,Gold,92,87,91,88,92,44,78,Medium / Low,Left,2,4,
Fabio Cannavaro,Icons,Icons,Italy,CB,Gold,92,80,43,63,68,95,85,Low / High,Right,3,2,
Neymar,Paris Saint-Germain,France Ligue 1,Brazil,LW,Gold,92,92,84,83,95,32,59,High / Medium,Right,5,5,
Diego Godín,Atlético de Madrid,Spain Primera Division,Uruguay,CB,Gold,91,68,83,90,83,75,70,Medium / High,Right,3,2,
Toni Kroos,Real Madrid,Spain Primera Division,Germany,CM,Gold,91,79,90,76,86,42,83,Medium / Medium,Right,5,3,
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,Poland,ST,Gold,91,73,68,76,70,93,87,High / Medium,Right,4,4,
Fernando Hierro,Icons,Icons,Spain,CB,Gold,91,69,48,74,70,94,80,Medium / High,Right,3,2,
Franco Baresi,Icons,Icons,Italy,CB,Gold,91,81,92,70,82,45,80,Medium / High,Right,3,2,
David Trezeguet,Icons,Icons,France,ST,Gold,91,88,88,76,82,41,81,Medium / Low,Right,4,4,
Miroslav Klose,Icons,Icons,Germany,ST,Gold,91,83,80,82,85,90,91,High / Medium,Right,4,3,
Patrick Vieira,Icons,Icons,France,CM,Gold,91,85,88,90,90,60,81,Medium / High,Right,3,3,
Pavel Nedvěd,Icons,Icons,Czech Republic,LM,Gold,91,79,92,75,87,40,70,High / Medium,Right,5,4,
Marco van Basten,Icons,Icons,Netherlands,ST,Gold,91,88,92,72,87,34,75,Medium / Low,Right,4,3,
Andriy Shevchenko,Icons,Icons,Ukraine,ST,Gold,91,81,93,77,78,52,85,High / High,Right,4,3,
